"Time","Drake"
"2021-03-01",23
"2021-04-01",19
"2021-05-01",22
"2021-06-01",17
"2021-07-01",20
"2021-08-01",22
"2021-09-01",54
"2021-10-01",24
"2021-11-01",21
"2021-12-01",20
"2022-01-01",25
"2022-02-01",24
"2022-03-01",19
"2022-04-01",19
"2022-05-01",18
"2022-06-01",30
"2022-07-01",24
"2022-08-01",20
"2022-09-01",19
"2022-10-01",21
"2022-11-01",32
"2022-12-01",21
"2023-01-01",20
"2023-02-01",22
"2023-03-01",20
"2023-04-01",23
"2023-05-01",19
"2023-06-01",21
"2023-07-01",25
"2023-08-01",25
"2023-09-01",24
"2023-10-01",35
"2023-11-01",25
"2023-12-01",28
"2024-01-01",25
"2024-02-01",92
"2024-03-01",30
"2024-04-01",38
"2024-05-01",100
"2024-06-01",30
"2024-07-01",27
"2024-08-01",25
"2024-09-01",20
"2024-10-01",19
"2024-11-01",20
"2024-12-01",20
"2025-01-01",18
"2025-02-01",73
"2025-03-01",23
"2025-04-01",22
"2025-05-01",18
"2025-06-01",41
"2025-07-01",59
"2025-08-01",29
"2025-09-01",21
"2025-10-01",21
"2025-11-01",18
"2025-12-01",22
"2026-01-01",19
"2026-02-01",18
"2026-03-01",17